Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct
1789442010,447398936,41,0,0,0,0.00,8.08
1789442011,447418071,39,0,0,0,0.00,12.62
1789442012,447407206,43,0,0,0,0.00,9.18
1789442013,447889337,30,0,0,0,0.00,5.15
1789442014,447401475,39,0,1,0,0.00,9.90
1789442015,447423608,37,1,0,0,0.00,5.10
1789442016,447400742,33,0,0,0,0.00,6.06
1789442017,447407874,32,0,0,0,0.00,5.15
1789442018,447418007,36,1,1,0,0.00,9.18
1789442019,447406139,32,0,0,0,0.00,9.90
1789442020,447403271,24,0,0,0,0.00,3.09
1789442021,447404402,33,0,1,0,0.00,7.00
1789442022,447398533,42,0,0,0,0.00,8.16
1789442023,447407664,41,0,0,0,0.00,9.18
1789442024,447400794,37,0,0,0,0.00,8.16
1789442025,447403924,32,0,0,0,0.00,10.78
1789442026,447403053,38,0,0,0,0.00,8.16
1789442027,447411182,34,0,0,0,0.00,5.05
1789442028,447412311,42,0,0,0,0.00,5.21
1789442029,447400439,37,0,1,0,0.00,7.14
1789442030,447405567,38,1,1,0,0.00,10.89
1789442031,447437694,16,0,0,0,0.00,4.04
1789442032,447436821,12,0,0,0,0.00,3.03
1789442033,447406948,77,1,1,0,0.00,11.88
1789442034,447427074,32,0,0,0,0.00,5.26
1789442035,447405200,40,0,0,0,0.00,7.22
1789442036,447407325,30,1,1,0,0.00,6.19
1789442037,447406450,29,0,0,0,0.00,7.07
1789442038,447404575,51,0,0,0,0.00,6.19
1789442039,447422699,49,0,0,0,0.00,9.09
1789442040,447404823,28,0,0,0,0.00,5.15
1789442041,447402947,31,0,1,0,0.00,6.12
1789442042,447431070,21,0,0,0,0.00,5.05
1789442043,447413193,14,1,1,0,0.00,7.92
1789442044,447399315,48,0,0,0,0.00,7.22
1789442045,447405437,26,0,0,0,0.00,5.00
1789442046,447405559,50,1,1,0,0.00,11.22
1789442047,447405680,59,0,0,0,0.00,11.22
1789442048,447412801,35,0,0,0,0.00,10.89
1789442049,447400922,39,0,0,0,0.00,8.25
1789442050,447428042,32,1,1,0,0.00,5.00
1789442051,447409162,34,0,0,0,0.00,4.17
1789442052,447409281,40,0,0,0,0.00,6.25
1789442053,447400400,38,1,0,0,0.00,14.29
1789442054,447407519,31,0,0,0,0.00,10.10
1789442055,447399637,32,0,0,0,0.00,5.21
1789442056,447420755,26,0,0,0,0.00,4.04
1789442057,447401873,50,0,0,0,0.00,11.11
1789442058,447400990,34,0,0,0,0.00,9.09
1789442059,447408107,41,0,0,0,0.00,10.78
1789442060,447428223,26,0,0,0,0.00,2.11
1789442061,447437339,25,0,0,0,0.00,6.12
1789442062,447405455,46,0,0,0,0.00,7.00
1789442063,447405571,30,1,1,0,0.00,5.15
1789442064,447421686,29,0,0,0,0.00,5.10
1789442065,447434800,30,0,0,0,0.00,6.12
1789442066,447403915,33,1,1,0,0.00,7.14
1789442067,447405029,31,0,0,0,0.00,8.00
1789442068,447399142,32,0,0,0,0.00,7.07
1789442069,447728253,49,0,0,0,1.56,10.10
1789442070,447410368,37,0,0,0,0.00,8.08
1789442071,447403481,37,0,0,0,0.00,11.00
1789442072,447409593,35,0,0,0,0.00,7.22
1789442073,447429704,31,0,0,0,0.00,11.65
1789442074,447408816,37,0,0,0,0.00,6.06
1789442075,447403927,50,0,0,0,0.00,12.00
1789442076,447419038,37,0,0,0,0.00,12.62
1789442077,447404148,36,0,1,0,0.00,7.22
1789442078,447407258,33,1,1,0,0.00,8.08
1789442079,447411368,22,0,0,0,0.00,4.12
1789442080,447404477,39,0,0,0,0.00,5.15
1789442081,447414586,26,0,0,0,0.00,7.00
1789442082,447416694,30,0,0,0,0.00,6.06
1789442083,447444802,27,0,0,0,0.00,4.12
1789442084,447399910,26,0,0,0,0.00,7.92
1789442085,447442018,31,1,1,0,0.00,4.21
1789442086,447424125,52,0,0,0,0.00,6.19
1789442087,447428232,30,1,1,0,0.00,5.15
1789442088,447403338,41,0,0,0,0.00,9.09
1789442089,447405445,26,2,2,0,0.00,7.07
1789442090,447406550,34,0,0,0,0.00,6.19
1789442091,447426656,34,0,0,0,0.00,5.21
1789442092,447402761,29,0,0,0,0.00,5.10
1789442093,447420866,30,0,0,0,0.00,6.06
1789442094,447404970,28,0,1,0,0.00,3.16
1789442095,447402074,42,0,0,0,0.00,10.00
1789442096,447405178,45,0,0,0,0.00,9.18
1789442097,447401281,37,0,0,0,0.00,7.92
1789442098,447411384,33,0,0,0,0.00,9.80
1789442099,447417487,33,1,1,0,0.00,9.00
1789442100,447426589,29,0,0,0,0.00,5.15
1789442101,447409691,33,0,0,0,0.00,7.07
1789442102,447422793,18,0,0,0,0.00,5.00
1789442103,447419894,34,1,2,0,0.00,9.80
1789442104,447409995,65,0,0,0,0.00,6.38
1789442105,447401096,50,0,0,0,0.00,8.33
1789442106,447741194,81,0,0,0,0.00,13.68
1789442107,447400296,54,0,0,0,0.00,10.31
1789442108,447423396,51,0,0,0,0.00,13.73
1789442109,447396495,40,1,1,0,0.00,6.12
1789442110,447402594,47,1,1,0,0.00,12.00
1789442111,447417693,43,1,1,0,0.00,9.38
1789442112,447395791,51,0,0,0,0.00,12.12
1789442113,447400889,53,0,0,0,0.00,14.71
